,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,isUSMarketOpen,lastTradeTime,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,previousVolume,primaryExchange,symbol,volume,week52High,week52Low,ytdChange
766,611112,close,-1.11,-0.0098,112.1,1572638400590,Cincinnati Financial Corp.,112.1,1572638400289,-1.61,-0.01436,110.49,1572644583590,114,,,,,,,,,,False,1572638400289,112.1,Close,"November 1, 2019",1572638400590,554474,111.08,18314225400,113.52,1572615000398,19.94,113.21,1128662,NASDAQ,CINF,554474,118.19,71.21,0.47261200000000003
767,893286,close,0.79,0.01612,49.79,1572638477512,Loews Corp.,49.79,1572639000009,0,0,49.79,1572647400002,50.04,,,,,,,,,,False,1572638399939,49.79,Close,"November 1, 2019",1572638477512,1166741,48.99,14809487810,49.26,1572615000449,27.68,49,1505533,New York Stock Exchange,L,1166741,56.2,42.06,0.120601
768,1856740,close,1.02,0.03205,32.85,1572638520394,"Gardner Denver Holdings, Inc.",32.85,1572639000003,0,0,32.85,1572647400006,32.85,,,,,,,,,,False,1572638399995,32.85,Close,"November 1, 2019",1572638520394,1306406,31.88,6722194050,32.12,1572615000448,28.98,31.83,1708479,New York Stock Exchange,GDI,1306406,36.22,18.7,0.596336
769,1037828,close,1.44,0.02514,58.71,1572638638421,"Robert Half International, Inc.",58.71,1572639000009,0,0,58.71,1572647400003,58.87,,,,,,,,,,False,1572638399931,58.71,Close,"November 1, 2019",1572638638421,976485,57.27,6902006310,57.83,1572615000490,15.07,57.27,739160,New York Stock Exchange,RHI,976485,69.08,51.89,0.06352
770,410173,close,2.02,0.01442,142.09,1572638400574,"Euronet Worldwide, Inc.",141.569,1572639949889,-0.521,-0.00367,141.569,1572639949889,142.505,,,,,,,,,,False,1572638400210,142.09,Close,"November 1, 2019",1572638400574,457145,140.59,7742043621,140.79,1572615000609,,140.07,252261,NASDAQ,EEFT,457145,171.25,91.78,0.413494
771,966766,close,3.51,0.03836,95.01,1572638707446,FMC Corp.,95.01,1572639000007,0,0,95.01,1572650899715,95.12,,,,,,,,,,False,1572638399502,95.01,Close,"November 1, 2019",1572638707446,1708727,91.87,12314721150,92.16,1572615000427,23.46,91.5,1185304,New York Stock Exchange,FMC,1708727,95.12,69.36,0.303979
772,226151,close,2.39,0.03228,76.44,1572638520418,Regal Beloit Corp.,76.44,1572639000008,0,0,76.44,1572647400008,76.57,,,,,,,,,,False,1572638399868,76.44,Close,"November 1, 2019",1572638520418,258375,74.3,3205503756,74.7,1572615000440,12.65,74.05,219815,New York Stock Exchange,RBC,258375,87.31,66.03,0.112551
773,662969,close,2.5,0.02494,102.74,1572638520460,"Carter's, Inc.",102.74,1572639000006,0,0,102.74,1572647400003,103.01,,,,,,,,,,False,1572638398403,102.74,Close,"November 1, 2019",1572638520460,615932,100.065,4535662780,100.85,1572615000389,17.31,100.24,571961,New York Stock Exchange,CRI,615932,109.71,75.66,0.287878
774,371467,close,0.74,0.074,10.74,1572638520465,Gates Industrial Corp. Plc,10.74,1572639000007,0,0,10.74,1572647400004,10.86,,,,,,,,,,False,1572638399961,10.74,Close,"November 1, 2019",1572638520465,353712,10.115,3115770660,10.14,1572615000420,4.04,10,251841,New York Stock Exchange,GTES,353712,17.6,6.76,-0.12867299999999998
775,478026,close,1.5,0.00344,437.01,1572638400641,"O'Reilly Automotive, Inc.",437.01,1572638400586,0,0,437.01,1572644488057,440.07,,,,,,,,,,False,1572638400586,437.01,Close,"November 1, 2019",1572638400641,439325,435.98,33093893280,437.93,1572615000653,24.91,435.51,383181,NASDAQ,ORLY,439325,446.78,319.13,0.284431
776,2362812,close,0.21,0.00712,29.7,1572638520358,Axalta Coating Systems Ltd.,29.7,1572639000001,0,0,29.7,1572647400007,29.95,,,,,,,,,,False,1572638399548,29.7,Close,"November 1, 2019",1572638520358,1531419,29.66,6969105000,29.66,1572615000370,24.61,29.49,1783948,New York Stock Exchange,AXTA,1531419,32.2,21.57,0.26452000000000003
777,208091,close,0.44,0.00916,48.5,1572638520428,Mercury General Corp.,48.5,1572639000009,0,0,48.5,1572647400004,48.66,,,,,,,,,,False,1572638400927,48.5,Close,"November 1, 2019",1572638520428,172558,47.975,2684717500,48.43,1572615000442,13,48.06,327480,New York Stock Exchange,MCY,172558,65.22,46.69,-0.034421
778,1605494,close,0.24,0.01041,23.3,1572638520437,nVent Electric Plc,23.3,1572639000006,0,0,23.3,1572647400003,23.3,,,,,,,,,,False,1572638399939,23.3,Close,"November 1, 2019",1572638520437,1680028,22.61,3941195000,23.01,1572615000434,16.59,23.06,5105123,New York Stock Exchange,NVT,1680028,28.49,19.04,0.045506000000000005
779,1643677,close,0.18,0.00568,31.88,1572638659891,CubeSmart,31.88,1572639000007,0,0,31.88,1572647400007,31.94,,,,,,,,,,False,1572638399962,31.88,Close,"November 1, 2019",1572638659891,1825465,31.41,6170533400,31.78,1572615000346,34.43,31.7,2552159,New York Stock Exchange,CUBE,1825465,36.32,27.78,0.14141199999999998
780,225465,close,-3.68,-0.02478,144.84,1572638520467,"Bright Horizons Family Solutions, Inc.",144.84,1572639000009,0,0,144.84,1572647400009,149.135,,,,,,,,,,False,1572638399948,144.84,Close,"November 1, 2019",1572638520467,228044,144.05,8430919140,148.96,1572615000368,46.88,148.52,394538,New York Stock Exchange,BFAM,228044,168.28,105.15,0.28922
781,1388530,close,0.19,0.01573,12.27,1572638520442,GrafTech International Ltd.,12.27,1572639000005,0,0,12.27,1572647400004,12.44,,,,,,,,,,False,1572638399938,12.27,Close,"November 1, 2019",1572638520442,857970,12.14,3564901260,12.16,1572615000442,4.35,12.08,1084031,New York Stock Exchange,EAF,857970,19.4,9.6,0.07166800000000001
