NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
PG&E Corp,Utilities,52.68,271,14,54.49,45.38,46.62,47.9,64.67,56.56,56.38
Waters Corp,Health Care Equipment & Services,52.67,272,11,33.2,50.17,57.0,45.05,54.41,64.0,57.16
Carmax,Retail,52.65,273,12,46.18,56.91,50.93,50.66,54.82,52.84,53.44
Schlumberger,Energy Equipment & Services,52.64,274,3,74.39,50.64,64.04,44.68,38.0,40.57,54.56
Alliant Energy,Utilities,52.62,275,15,54.91,59.74,34.34,44.12,66.48,56.56,53.39
NRG Energy,Utilities,52.62,276,16,58.57,46.19,40.67,40.68,49.69,48.38,70.2
Aptargroup,Building Materials & Packaging,52.61,277,4,62.87,48.62,71.4,43.51,50.68,52.84,46.25
EOG Resources,Oil & Gas,52.61,278,15,44.08,52.26,49.46,44.14,62.67,56.56,56.72
Wells Fargo,Banks,52.56,279,11,67.25,24.03,57.14,74.05,55.48,50.29,54.0
Sherwin Williams,Building Materials & Packaging,52.53,280,5,62.28,60.96,45.22,50.78,52.19,48.75,49.3
Interpublic Group,Media,52.53,281,6,52.86,51.85,51.85,47.77,62.46,52.84,52.13
Neurocrine Biosciences,Pharmaceuticals & Biotech,52.51,282,21,38.57,43.35,52.72,81.72,39.25,56.56,52.57
Graco,Commercial Vehicles & Machinery,52.5,283,8,60.96,49.83,47.04,45.87,55.64,52.84,55.62
Alkermes,Pharmaceuticals & Biotech,52.5,284,22,41.87,53.47,52.62,45.38,32.91,56.56,63.9
Allergan,Pharmaceuticals & Biotech,52.45,285,23,63.76,48.21,75.01,45.71,32.73,40.57,55.63
Littelfuse,Industrial Goods,52.42,286,9,50.31,50.61,47.33,48.18,44.66,52.84,61.67
Invesco,Capital Markets,52.41,287,16,44.62,47.81,57.16,45.04,39.37,52.84,64.25
Duke Energy,Utilities,52.38,288,17,67.77,53.47,22.07,47.65,54.69,46.98,65.46
Archer Daniels Midland,Food,52.37,289,8,75.15,51.85,49.12,47.21,49.37,44.29,52.86
Davita,Health Care Providers,52.36,290,7,42.85,52.26,51.77,56.88,37.63,67.72,50.45
Estee Lauder,Personal Products,52.32,291,5,47.91,58.67,73.77,47.27,40.17,49.12,46.92
National Instruments,Industrial Goods,52.32,292,10,58.12,46.19,55.21,44.9,54.28,52.84,55.41
Antero Resources,Oil & Gas,52.31,293,16,38.57,44.57,39.35,70.95,52.83,56.56,58.67
Valero Energy,Oil & Gas,52.31,294,17,48.71,54.28,42.22,43.5,56.11,56.56,58.3
Xilinx,Semiconductors & Equipment,52.29,295,14,42.36,49.83,52.73,45.88,60.43,52.84,58.29
Hanover Insurance Group,Insurance,52.27,296,11,46.64,48.21,51.01,43.94,68.37,52.84,56.74
Allegion,Industrial Goods,52.24,297,11,55.69,67.42,45.59,45.13,51.8,52.84,46.67
Church & Dwight,Personal Products,52.23,298,6,68.75,50.23,53.89,44.99,57.03,52.84,47.29
Avnet,Industrial Goods,52.23,299,12,70.12,47.0,53.63,45.0,54.21,52.84,50.04
Owens Illinois,Building Materials & Packaging,52.21,300,6,71.44,50.74,40.8,45.89,43.54,52.84,56.48
Extraction Oil & Gas,Oil & Gas,52.2,301,18,38.57,49.78,42.23,94.65,33.34,56.56,47.72
Nordson Corp,Commercial Vehicles & Machinery,52.19,302,9,70.22,52.66,47.32,44.31,62.91,52.84,46.56
Newfield Exploration,Oil & Gas,52.18,303,19,51.83,49.43,46.94,40.43,58.11,56.56,58.3
CSX Corp,Transportation,52.18,304,7,50.45,48.21,59.29,44.94,69.24,43.81,54.92
Macquarie Infrastructure,Transportation,52.17,305,8,67.15,49.83,42.74,46.59,50.53,52.84,55.16
Dentsply Sirona,Health Care Equipment & Services,52.17,306,12,50.99,53.07,56.03,46.19,43.19,64.0,48.98
Parsley Energy,Oil & Gas,52.16,307,20,38.57,49.78,39.65,92.51,44.09,56.56,46.42
Incyte Corp,Pharmaceuticals & Biotech,52.14,308,24,47.38,43.35,52.74,57.57,39.2,56.56,59.14
Discovery Inc,Media,52.13,309,7,42.97,60.48,47.45,45.11,39.2,52.84,59.85
Gentex,Automobiles & Parts,52.11,310,6,56.46,44.57,61.56,46.27,60.86,52.84,50.26
KLA-Tencor,Semiconductors & Equipment,52.1,311,15,64.86,52.26,55.4,44.38,54.39,52.84,47.37
Celgene,Pharmaceuticals & Biotech,52.08,312,25,63.39,49.83,67.38,50.24,37.73,34.51,56.79
Consolidated Edison,Utilities,52.07,313,18,52.68,51.04,61.58,46.5,52.06,56.56,47.7
Republic Services,Commercial Support Services,52.06,314,11,47.55,48.62,48.39,49.97,67.66,52.84,53.8
Paychex,Commercial Support Services,52.05,315,12,45.17,53.47,51.86,46.82,59.23,52.84,53.86
Kosmos Energy,Oil & Gas,52.04,316,21,60.81,43.76,45.04,44.84,42.62,56.56,61.81
PNC Financial,Banks,52.04,317,12,69.85,39.03,57.06,50.28,56.59,52.84,49.92
Sprint Corp,Telecommunications,52.04,318,4,59.3,52.26,53.49,45.48,46.85,52.84,52.46
Verisign,Computer Services,52.04,319,8,43.33,44.97,53.6,45.31,57.86,52.84,60.97
Genpact,Commercial Support Services,52.04,320,13,54.36,42.35,57.01,48.58,48.45,52.84,57.77
AECOM,Industrial Goods,52.02,321,13,45.91,49.02,50.96,49.5,47.05,52.84,59.76
Tableau Software,Software,51.98,322,20,59.12,43.57,51.84,52.48,36.99,52.84,59.17
Hologic,Health Care Equipment & Services,51.98,323,13,44.92,43.97,53.63,45.2,59.15,64.0,53.83
Boston Scientific,Health Care Equipment & Services,51.96,324,14,54.12,35.87,55.37,45.65,55.23,36.25,72.01
McKesson Corp,Food & Drug Retailers,51.94,325,5,55.44,43.16,52.78,51.46,50.97,48.63,58.76
AvalonBay Communities,Real Estate,51.88,326,6,56.62,45.38,57.02,48.09,51.13,52.84,53.36
Cerner Corp,Software,51.88,327,21,36.38,57.71,50.89,49.01,57.59,52.84,53.89
Booz Allen Hamilton,Commercial Support Services,51.81,328,14,48.09,40.33,56.23,47.08,56.67,52.84,59.45
Brown Forman,Food,51.78,329,9,57.22,54.86,50.63,45.58,53.37,49.12,51.9
Molson Coors Brewing,Food,51.75,330,10,57.09,51.21,48.2,43.71,47.17,49.12,58.69
Scotts Miracle-Gro,Chemicals,51.74,331,9,58.55,61.47,45.53,44.91,48.46,49.12,51.07
PRA Health Sciences,Pharmaceuticals & Biotech,51.74,332,26,45.71,50.15,53.64,48.76,48.66,56.56,54.14
Toro,Commercial Vehicles & Machinery,51.74,333,10,49.49,60.15,48.2,44.79,58.64,44.66,53.84
HollyFrontier,Oil & Gas,51.7,334,22,42.6,50.23,47.74,45.0,52.66,56.56,58.88
TFS Financial,Banks,51.65,335,13,38.57,59.04,53.63,44.84,52.42,52.84,53.42
Cheniere Energy,Oil & Gas,51.65,336,23,40.77,49.78,42.21,71.64,45.37,56.56,51.91
Cadence Design Systems,Software,51.58,337,22,47.57,41.14,51.84,46.39,49.97,52.84,63.01
SVB Financial Group,Banks,51.51,338,14,55.29,47.81,53.64,48.74,54.75,52.84,50.94
Ameren,Utilities,51.51,339,19,50.39,47.4,26.5,45.14,62.47,56.56,64.51
Visteon Corp,Automobiles & Parts,51.5,340,7,52.65,52.66,50.07,44.81,58.86,52.84,51.02
Halliburton,Energy Equipment & Services,51.5,341,4,68.18,44.16,54.14,44.14,40.76,52.84,54.55
Unum Group,Insurance,51.49,342,12,48.36,47.81,52.91,45.69,57.91,52.84,54.71
Diamondback Energy,Oil & Gas,51.49,343,24,38.57,49.78,40.34,78.93,46.12,56.56,49.36
Moodys Corp,Consumer & Diversified Finance,51.36,344,8,55.56,52.66,53.64,45.54,43.08,52.84,52.16
Gartner,Computer Services,51.35,345,9,39.67,53.07,51.82,49.76,54.65,52.84,53.73
Pegasystems,Software,51.34,346,23,52.38,41.95,51.84,47.43,49.73,52.84,58.94
QEP Resources,Oil & Gas,51.31,347,25,49.85,48.62,41.57,43.42,54.48,56.56,58.7
Hilton Grand Vacations,Restaurants & Leisure,51.27,348,7,72.13,55.45,47.92,46.67,57.23,52.84,40.39
Ryder System,Transportation,51.25,349,9,61.59,48.21,54.83,51.22,59.65,52.84,43.42
ARRIS International,Technology Hardware,51.24,350,11,62.77,51.85,55.39,43.52,42.7,52.84,49.31
US Bancorp,Banks,51.21,351,15,57.92,40.73,56.22,54.61,48.92,52.84,51.3
Wellcare Group,Health Care Providers,51.2,352,8,44.21,40.33,50.13,53.54,61.55,67.72,48.27
First Horizon National,Banks,51.17,353,16,44.62,40.73,53.62,44.25,36.42,52.84,67.48
Blackrock,Capital Markets,51.16,354,17,36.49,46.4,50.67,47.07,50.36,52.84,62.44
Centene,Health Care Providers,51.15,355,9,46.42,42.96,50.13,57.21,51.82,67.72,46.65
Twilio,Software,51.14,356,24,42.97,40.73,51.85,74.65,40.22,52.84,52.76
Dun & Bradstreet,Media,51.12,357,8,48.27,44.57,50.98,47.11,56.04,52.84,56.44
Gilead Sciences,Pharmaceuticals & Biotech,51.1,358,27,54.0,49.43,57.16,46.3,54.25,43.97,53.39
Xcel Energy,Utilities,51.07,359,20,62.28,50.64,38.26,45.12,62.79,56.56,49.05
Ameriprise Financial,Capital Markets,51.07,360,18,46.28,56.5,52.77,46.05,44.24,52.84,52.05
Quest Diagnostics,Health Care Providers,51.05,361,10,54.03,43.16,62.87,50.68,54.4,67.72,38.52
Vertex Pharmaceuticals,Pharmaceuticals & Biotech,51.04,362,28,48.09,52.26,52.68,43.76,51.52,56.56,50.77
Toll Brothers,Household Goods & Apparel,51.03,363,9,48.37,48.21,49.23,50.02,48.79,52.84,55.31
Assured Guaranty,Insurance,51.01,364,13,44.08,50.4,47.49,44.46,44.53,52.84,60.55
Bank Of Hawaii,Banks,50.99,365,17,46.32,54.88,53.6,43.44,55.25,52.84,50.13
Bunge Limited,Food,50.98,366,11,54.16,45.78,45.98,44.95,44.82,56.56,57.67
Reinsurance Group of America,Insurance,50.98,367,14,40.77,47.81,47.49,45.6,66.53,52.84,55.92
Discover Financial Services,Consumer & Diversified Finance,50.97,368,9,48.45,37.82,50.98,48.42,54.53,52.84,60.44
LyondellBasell,Chemicals,50.95,369,10,61.02,44.57,45.55,45.34,58.5,49.12,55.32
L Brands,Retail,50.94,370,13,56.06,60.56,54.43,55.7,51.14,52.84,36.49
Garmin,Technology Hardware,50.94,371,12,48.41,46.19,48.23,46.88,37.59,52.84,62.11
Huntington Ingalls,Aerospace & Defense,50.92,372,5,54.82,43.35,42.41,49.09,57.9,49.12,58.73
Progressive Corp,Insurance,50.92,373,15,45.46,42.55,47.48,51.02,62.78,52.84,55.95
CommScope Holding,Technology Hardware,50.9,374,13,52.04,53.47,55.17,44.75,45.01,52.84,50.2
Roper Technologies,Industrial Goods,50.89,375,14,50.35,51.85,48.28,46.59,55.18,52.84,51.37
TJX Companies,Retail,50.89,376,14,61.48,59.65,55.31,70.41,55.48,40.57,32.67
Sonoco Products,Building Materials & Packaging,50.86,377,7,61.0,47.4,48.69,46.93,50.05,52.84,51.11
Abiomed,Health Care Equipment & Services,50.85,378,15,31.36,41.07,51.89,56.61,57.4,64.0,53.02
Northern Trust,Capital Markets,50.81,379,19,48.37,39.11,44.54,46.45,55.89,52.84,62.78
Pinnacle West Capital,Utilities,50.81,380,21,50.38,44.97,37.25,44.13,61.65,56.56,58.55
Marketaxess Holdings,Capital Markets,50.8,381,20,39.67,52.06,52.76,47.01,60.08,52.84,51.32
First Republic Bank,Banks,50.75,382,18,52.53,47.61,54.52,52.61,45.15,52.84,49.96
Credit Acceptance Corp,Consumer & Diversified Finance,50.73,383,10,40.79,39.52,50.1,47.99,57.23,52.84,61.35
Morningstar,Media,50.73,384,9,38.57,52.15,50.01,46.9,58.0,52.84,53.6
Weyerhaeuser,Real Estate,50.72,385,7,62.3,39.52,55.63,43.29,57.9,52.84,51.2
Splunk,Software,50.69,386,25,43.15,50.23,51.87,50.78,39.73,52.84,55.98
West Pharmaceutical Services,Health Care Equipment & Services,50.68,387,16,46.84,41.14,53.21,45.33,52.89,64.0,51.95
Microchip Technology,Semiconductors & Equipment,50.65,388,16,58.48,45.78,53.02,44.78,51.46,52.84,50.87
Iron Mountain,Real Estate,50.65,389,8,49.9,50.64,56.37,45.45,55.9,52.84,47.57
Williams Companies,Energy Equipment & Services,50.62,390,5,48.17,46.59,32.2,43.88,54.98,52.84,64.73
Cimarex Energy,Oil & Gas,50.62,391,26,39.67,52.66,39.83,44.49,47.95,56.56,59.92
PPL Corp,Utilities,50.61,392,22,63.93,47.4,32.62,43.38,64.35,56.56,52.04
Take-Two Interactive,Household Goods & Apparel,50.6,393,10,43.88,39.11,51.85,53.5,51.54,52.84,58.0
Lennox International,Building Materials & Packaging,50.58,394,8,31.71,56.91,54.34,46.67,58.82,52.84,50.16
Erie Indemnity,Insurance,50.57,395,16,47.93,41.54,47.46,46.32,47.35,52.84,61.62
Omnicom Group,Media,50.53,396,10,42.99,49.83,53.63,47.39,55.21,52.84,51.34
Bio-Techne Corp,Pharmaceuticals & Biotech,50.52,397,29,39.9,44.57,52.63,52.3,46.93,56.56,55.02
Realogy Holdings,Real Estate,50.51,398,9,47.72,49.83,49.2,46.09,61.5,52.84,50.05
American Homes 4 Rent,Real Estate,50.5,399,10,38.57,45.78,45.88,94.77,42.38,52.84,40.92
Dover Corp,Commercial Vehicles & Machinery,50.5,400,11,49.24,51.45,52.28,45.9,53.68,52.84,49.27
Evercore,Capital Markets,50.48,401,21,39.95,48.21,50.11,45.78,58.89,52.84,55.0
Darden Restaurants,Restaurants & Leisure,50.47,402,8,25.07,56.63,56.82,68.72,58.82,40.09,48.1
Danaher Corp,Industrial Goods,50.45,403,15,45.16,60.14,48.4,49.48,47.7,52.84,46.84
SM Energy,Oil & Gas,50.43,404,27,43.99,52.66,39.64,42.67,53.0,56.56,56.6
United Technologies,Aerospace & Defense,50.35,405,6,50.07,50.23,52.63,52.19,57.88,28.29,58.94
Jazz Pharmaceuticals,Pharmaceuticals & Biotech,50.34,406,30,49.92,50.15,52.76,46.39,41.09,56.56,50.73
Bemis,Building Materials & Packaging,50.34,407,9,58.43,51.04,40.2,44.19,66.48,52.84,47.84
Norfolk Southern,Transportation,50.31,408,10,46.26,43.76,71.02,46.24,55.66,52.84,44.71
Jacobs Engineering,Industrial Goods,50.29,409,16,52.04,53.07,39.91,49.9,58.99,52.84,48.8
AmerisourceBergen,Food & Drug Retailers,50.28,410,6,61.99,60.96,53.66,48.03,65.21,31.13,43.26
Ansys Inc,Software,50.22,411,26,39.95,50.64,53.6,45.96,51.25,52.84,52.85
Spirit Aerosystems,Aerospace & Defense,50.2,412,7,46.84,49.02,47.35,45.03,55.66,52.84,53.2
Activision Blizzard,Household Goods & Apparel,50.2,413,11,49.85,39.52,51.84,45.79,40.71,52.84,60.88
General Dynamics,Aerospace & Defense,50.19,414,8,15.35,50.23,44.67,57.12,52.83,49.12,64.46
Wyndham Destinations,Restaurants & Leisure,50.15,415,9,61.09,57.42,64.43,48.52,51.36,52.84,31.61
Willis Towers Watson,Insurance,50.15,416,17,40.86,55.29,47.43,57.15,47.32,52.84,47.81
Chesapeake Energy,Oil & Gas,50.13,417,28,48.93,45.38,44.47,40.52,25.94,56.56,65.91
AES Corp,Utilities,50.11,418,23,45.09,49.83,34.12,43.7,60.38,56.56,56.81
Jack Henry & Associates,Commercial Support Services,50.11,419,15,38.57,41.54,51.86,46.61,54.83,52.84,58.88
CBOE Global Markets,Capital Markets,50.08,420,22,40.22,61.16,50.13,43.39,43.86,52.84,50.13
Waste Management,Commercial Support Services,50.07,421,16,58.54,53.07,46.45,49.21,60.55,52.84,41.49
Switch Inc,Internet,50.07,422,7,38.57,59.47,53.58,44.73,27.33,56.56,52.81
Popular Inc,Banks,50.06,423,19,50.77,61.36,53.6,41.78,44.29,52.84,44.19
IQVIA Holdings,Pharmaceuticals & Biotech,50.03,424,31,45.87,50.15,55.4,45.33,49.61,56.56,47.58
Webster Financial,Banks,50.03,425,20,56.44,49.94,53.61,45.72,44.14,52.84,47.86
Stryker Corp,Health Care Equipment & Services,49.98,426,17,46.29,42.35,47.22,48.95,55.0,47.63,58.68
Qurate Retail,Media,49.93,427,11,38.57,61.25,48.37,47.14,45.69,52.84,48.64
Sun Communities,Real Estate,49.91,428,11,38.57,50.23,45.95,62.3,48.76,52.84,49.18
BioMarin Pharmaceutical,Pharmaceuticals & Biotech,49.9,429,32,44.64,50.15,54.35,46.4,43.83,56.56,49.49
Skyworks Solutions,Semiconductors & Equipment,49.9,430,17,54.4,49.83,50.78,51.07,50.09,52.84,45.16
Mosaic Company,Chemicals,49.89,431,11,71.86,51.85,19.19,44.16,48.03,49.12,58.84
SBA Communications,Real Estate,49.88,432,12,42.43,53.47,45.4,44.9,48.73,52.84,53.99
Markel Corp,Insurance,49.87,433,18,41.25,51.04,47.47,46.49,42.32,52.84,56.44
Logmein,Computer Services,49.86,434,10,41.87,46.59,51.88,45.95,46.55,52.84,55.88
Coca Cola,Food,49.85,435,12,68.21,53.07,43.4,44.67,52.44,28.36,57.29
Alexion Pharmaceuticals,Pharmaceuticals & Biotech,49.85,436,33,49.18,47.0,52.7,45.49,44.57,56.56,50.65
Caesars Entertainment,Restaurants & Leisure,49.82,437,10,67.71,51.45,56.32,52.68,42.58,45.4,41.12
Keurig Dr Pepper,Food,49.82,438,13,62.48,49.43,50.72,46.67,60.26,45.4,44.85
WPX Energy,Oil & Gas,49.78,439,29,39.67,45.38,43.24,41.89,46.89,56.56,61.58
Atmos Energy,Utilities,49.75,440,24,41.87,48.62,36.99,43.97,55.77,56.56,57.48
MGM Resorts,Restaurants & Leisure,49.72,441,11,50.54,56.58,55.08,54.01,50.13,45.4,41.97
Brighthouse Financial,Insurance,49.7,442,19,38.57,50.4,47.49,43.9,55.47,52.84,54.28
IPG Photonics,Industrial Goods,49.69,443,17,41.87,46.19,48.15,55.8,44.21,52.84,53.31
Pool Corp,Household Goods & Apparel,49.59,444,12,38.22,53.47,52.73,45.89,53.96,45.4,52.95
WEX Inc,Commercial Support Services,49.59,445,17,38.57,59.6,52.76,47.16,31.29,52.84,50.88
Manhattan Associates,Software,49.59,446,27,41.34,41.29,51.83,45.31,55.95,52.84,56.02
Proofpoint,Software,49.58,447,28,38.57,55.29,51.85,49.08,47.65,52.84,48.06
Southern Co,Utilities,49.55,448,25,43.84,51.85,25.09,47.59,53.29,56.56,58.72
E Trade Financial,Capital Markets,49.5,449,23,38.57,59.74,50.1,45.42,53.78,52.84,45.26
Broadridge Financial,Commercial Support Services,49.5,450,18,50.48,43.57,54.46,45.29,60.34,52.84,47.29
Sabre Corp,Restaurants & Leisure,49.5,451,12,48.26,41.14,53.64,45.69,57.7,49.12,53.26
Centennial Resource Development,Oil & Gas,49.48,452,30,38.57,49.78,41.37,66.72,32.2,56.56,51.23
Hanesbrand,Household Goods & Apparel,49.46,453,13,73.16,61.97,55.31,45.75,47.35,32.01,39.99
American Tower,Real Estate,49.45,454,13,44.08,44.97,50.54,46.35,56.13,52.84,51.75
Chubb Limited,Insurance,49.43,455,20,54.19,54.28,51.89,47.29,30.0,52.84,48.09
Arconic,Industrial Goods,49.42,456,18,59.09,50.61,43.13,48.91,60.06,52.84,42.37
Oshkosh Corp,Commercial Vehicles & Machinery,49.39,457,12,49.85,51.45,52.69,45.58,54.86,44.66,48.86
Borg Warner,Automobiles & Parts,49.38,458,8,43.06,48.21,49.81,44.66,39.23,52.84,56.36
AXA Equitable,Insurance,49.37,459,21,44.81,58.33,34.22,45.98,34.05,52.84,57.5
Crown Castle International,Real Estate,49.34,460,14,40.22,51.85,47.3,51.46,51.11,52.84,48.85
Docusign,Software,49.33,461,29,40.22,50.39,34.88,43.96,40.32,52.84,63.6
Ashland Global Holdings,Chemicals,49.33,462,12,67.05,51.04,36.01,44.47,59.46,49.12,46.56
Celanese,Chemicals,49.31,463,13,56.82,45.78,37.54,43.71,56.05,49.12,55.37
Masco,Building Materials & Packaging,49.31,464,10,54.25,62.99,49.61,47.38,54.02,52.84,34.57
Nucor,Basic Resources,49.29,465,5,45.08,45.38,40.08,47.82,52.59,52.84,56.26
Fireeye,Software,49.26,466,30,47.11,41.29,51.83,48.14,46.28,52.84,53.99
Eaton Corp,Industrial Goods,49.26,467,19,63.01,43.35,59.45,46.44,44.37,28.29,57.54
Scana,Utilities,49.19,468,26,42.97,47.81,35.56,43.47,51.24,56.56,57.76
Steel Dynamics,Basic Resources,49.17,469,6,39.29,47.0,34.89,45.16,49.61,52.84,62.12
Idexx Labs,Health Care Equipment & Services,49.17,470,18,47.78,41.07,50.07,46.09,59.21,64.0,44.6
2U Inc,Software,49.16,471,31,40.22,41.29,51.85,66.83,55.36,44.66,49.15
Associated Banc,Banks,49.13,472,21,47.39,49.94,53.58,43.26,56.04,52.84,45.43
Marathon Petroleum,Oil & Gas,49.13,473,31,49.69,21.03,54.02,50.14,51.99,56.56,60.61
Ally Financial,Consumer & Diversified Finance,49.13,474,11,44.36,31.15,50.11,45.69,53.8,52.84,61.49
BOK Financial,Banks,49.1,475,22,43.52,52.66,53.6,44.83,43.08,52.84,48.5
Trimble,Industrial Goods,49.07,476,20,45.53,53.07,45.63,47.12,55.83,52.84,46.05
Las Vegas Sands,Restaurants & Leisure,49.06,477,13,52.86,56.91,56.79,46.83,31.29,45.4,46.88
MSCI,Consumer & Diversified Finance,49.05,478,12,49.47,44.37,50.08,45.4,71.65,52.84,43.82
Zynga,Household Goods & Apparel,49.05,479,14,42.43,45.1,53.6,43.55,36.78,52.84,56.89
American Airlines,Transportation,49.01,480,11,59.01,57.95,45.38,59.71,49.91,47.96,35.23
Range Resources,Oil & Gas,49,481,32,45.74,47.81,18.24,40.7,44.07,56.56,68.54
Cullen Frost Bankers,Banks,48.99,482,23,38.57,59.04,53.6,45.23,41.6,52.84,45.96
Arrow Electronics,Industrial Goods,48.99,483,21,56.71,49.83,50.99,45.35,53.69,52.84,41.98
Howard Hughes Corp,Real Estate,48.99,484,15,38.57,52.66,46.42,46.69,50.27,52.84,50.65
Newell Brands,Household Goods & Apparel,48.97,485,15,47.99,62.18,55.39,48.48,50.43,35.18,44.5
Zions Bancorporation,Banks,48.97,486,24,38.57,49.22,53.59,44.83,55.5,52.84,48.5
Fortinet,Software,48.96,487,32,46.27,43.76,51.84,59.98,48.63,52.84,44.73
Home Depot,Retail,48.96,488,15,64.7,54.88,54.14,75.95,56.7,25.5,33.13
Cabot Oil & Gas,Oil & Gas,48.94,489,33,38.57,53.07,47.62,41.9,63.3,56.56,45.43
Genuine Parts,Automobiles & Parts,48.93,490,9,44.02,55.9,47.07,50.03,52.86,52.84,42.9
Teledyne Technologies,Aerospace & Defense,48.92,491,9,47.72,53.07,43.85,44.32,54.35,52.84,47.28
Catalent,Pharmaceuticals & Biotech,48.91,492,34,50.09,50.15,55.21,46.76,51.26,56.56,40.03
Wintrust Financial,Banks,48.9,493,25,38.57,49.94,53.6,45.3,61.39,52.84,45.54
Raymond James Financial,Capital Markets,48.88,494,24,40.77,36.68,50.09,47.47,43.65,52.84,60.58
Hill-Rom Holdings,Health Care Equipment & Services,48.88,495,19,39.01,43.16,49.97,45.67,57.4,64.0,46.55
Huntsman Corp,Chemicals,48.87,496,14,53.9,49.83,44.32,42.89,44.12,49.12,52.75
Ingredion,Food,48.86,497,14,47.75,50.23,46.74,46.76,60.37,56.56,42.19
Equity Residential,Real Estate,48.86,498,16,46.51,48.62,48.47,41.8,42.72,52.84,53.43
Parker Hannifin,Industrial Goods,48.85,499,22,49.17,51.85,52.09,45.87,48.5,52.84,44.14
Okta Inc,Computer Services,48.85,500,11,41.32,53.33,34.21,46.56,45.54,52.84,56.39
Match Group,Internet,48.85,501,8,38.57,43.39,51.85,50.64,44.04,56.56,51.81
Signature Bank,Banks,48.84,502,26,38.57,56.9,53.65,48.92,30.33,52.84,48.74
United Continental,Transportation,48.84,503,12,46.04,51.27,47.73,56.92,56.4,50.11,41.67
Versum Materials,Chemicals,48.79,504,15,49.97,50.49,50.54,44.51,40.99,49.12,50.65
Alleghany Corp,Insurance,48.79,505,22,39.84,41.54,48.37,61.99,52.88,52.84,47.82
Express Scripts,Health Care Providers,48.77,506,11,45.37,45.78,52.78,46.88,52.34,65.47,40.25
Qorvo Inc,Semiconductors & Equipment,48.76,507,18,54.94,50.23,47.38,44.73,27.96,52.84,52.17
Factset Research Systems,Media,48.74,508,12,40.22,44.37,50.03,47.39,57.03,52.84,50.4
Hormel Foods,Food,48.73,509,15,62.24,50.23,43.85,46.38,56.78,30.16,53.76
Franklin Resources,Capital Markets,48.7,510,25,42.97,42.35,56.28,45.28,55.96,52.84,48.63
RPM International,Chemicals,48.7,511,16,42.86,59.34,37.71,46.14,53.24,49.12,48.85
Fiserv Inc,Commercial Support Services,48.67,512,19,38.57,49.83,51.86,47.0,57.78,52.84,45.94
Fidelity National Information Services,Commercial Support Services,48.64,513,20,45.54,51.85,51.84,46.51,49.11,52.84,44.46
Vulcan Materials,Building Materials & Packaging,48.64,514,11,44.62,52.26,41.63,46.4,59.22,52.84,46.57
Tiffany & Co,Retail,48.62,515,16,45.78,64.81,49.26,45.79,50.31,37.22,45.5
Sarepta Therapeutics,Pharmaceuticals & Biotech,48.61,516,35,41.87,47.0,52.65,57.33,43.95,56.56,43.13
WEC Energy Group,Utilities,48.61,517,27,54.03,45.78,37.56,43.84,71.69,56.56,44.1
Vistra Energy,Utilities,48.58,518,28,41.87,51.04,25.04,42.98,67.06,56.56,53.96
Sensata Technologies,Industrial Goods,48.57,519,23,53.74,50.61,51.71,46.13,47.55,52.84,42.27
National Fuel Gas,Utilities,48.55,520,29,45.73,49.43,44.02,45.12,55.4,56.56,46.23
Digital Realty,Real Estate,48.54,521,17,43.14,48.62,52.41,46.59,46.67,52.84,47.84
