NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
Wyndham Hotels & Resorts,Restaurants & Leisure,45.71,712,20,54.13,53.88,33.5,48.64,50.73,52.84,35.3
Liberty Formula 1,Media,45.71,713,21,44.62,51.85,34.18,44.17,43.5,52.84,45.09
ITT Inc,Industrial Goods,45.71,714,33,46.46,47.0,43.03,42.78,53.32,52.84,40.59
Mednax,Health Care Providers,45.7,715,13,38.57,37.9,50.11,53.77,43.29,67.72,35.95
AutoNation,Retail,45.68,716,26,38.57,54.69,47.4,49.42,52.09,52.84,33.27
Patterson UTI Energy,Energy Equipment & Services,45.67,717,9,41.87,49.83,46.13,41.18,57.27,52.84,38.28
Telephone & Data Systems,Telecommunications,45.66,718,8,44.6,38.71,42.87,43.62,48.92,52.84,48.27
NVR Inc,Household Goods & Apparel,45.65,719,27,38.57,50.64,45.61,49.23,50.89,52.84,37.45
Southern Copper,Basic Resources,45.64,720,9,47.1,43.35,32.33,46.68,41.95,52.84,50.05
Norwegian Cruise Line,Restaurants & Leisure,45.64,721,21,39.67,55.3,50.58,48.89,41.45,49.12,36.48
Cantel Medical,Health Care Equipment & Services,45.61,722,27,45.19,41.95,44.79,49.39,50.84,64.0,34.45
OneMain Holdings,Consumer & Diversified Finance,45.6,723,16,42.43,47.81,50.05,45.24,48.84,52.84,37.94
Martin Marietta Materials,Building Materials & Packaging,45.58,724,19,38.57,49.83,36.1,47.43,58.05,52.84,41.2
Synovus Financial,Banks,45.55,725,37,40.22,40.33,53.62,43.56,54.01,52.84,41.31
Cable One,Media,45.53,726,22,38.57,42.95,47.37,44.59,55.05,52.84,42.47
Thor Industries,Household Goods & Apparel,45.53,727,28,44.05,52.26,41.22,50.34,40.55,45.4,42.95
Masimo Corporation,Health Care Equipment & Services,45.52,728,28,39.27,41.14,50.07,45.89,40.52,64.0,39.61
CBS Corporation,Media,45.5,729,23,47.32,49.03,47.45,44.98,45.0,36.35,46.95
Mid-America Apartment Communities,Real Estate,45.48,730,27,38.57,48.62,46.02,42.46,44.21,52.84,43.53
Aqua America,Utilities,45.46,731,37,42.95,49.02,40.77,43.43,54.02,52.84,40.3
Universal Health Services,Health Care Providers,45.45,732,14,28.67,42.35,49.88,55.78,37.07,67.72,37.21
CIT Group,Consumer & Diversified Finance,45.45,733,17,44.62,49.83,53.63,44.05,34.38,52.84,38.41
Mattel,Household Goods & Apparel,45.43,734,29,28.42,61.97,35.54,45.28,44.18,44.29,47.27
Penumbra,Health Care Equipment & Services,45.38,735,29,39.48,36.28,50.12,49.64,46.77,64.0,38.47
Newmarket Corporation,Chemicals,45.37,736,20,40.54,48.21,42.61,44.8,54.26,49.12,42.02
Reliance Steel & Alum,Basic Resources,45.35,737,10,33.83,51.45,35.99,45.88,50.34,52.84,44.53
Insulet Corp,Health Care Equipment & Services,45.3,738,30,40.65,41.07,50.08,45.84,46.88,55.82,40.88
Citizens Financial,Banks,45.3,739,38,48.51,32.56,53.61,45.42,52.85,52.84,41.7
Brunswick Corp,Household Goods & Apparel,45.28,740,30,39.64,49.83,46.9,46.46,49.31,29.03,51.26
Global Payments,Commercial Support Services,45.27,741,27,49.84,42.35,51.88,45.39,51.07,52.84,35.51
SEI Investments,Capital Markets,45.26,742,30,38.57,33.85,50.08,45.24,62.23,52.84,43.76
KAR Auction Services,Retail,45.26,743,27,42.97,52.26,47.35,49.66,65.58,52.84,26.83
Fair Isaac Corp,Software,45.23,744,39,38.57,34.66,51.84,47.0,61.23,52.84,41.61
Worldpay,Commercial Support Services,45.21,745,28,40.39,41.41,51.89,45.32,50.11,52.84,40.37
The Kraft Heinz Company,Food,45.18,746,24,50.36,62.06,47.23,50.42,41.87,40.19,31.23
Molina Healthcare,Health Care Providers,45.17,747,15,43.52,35.47,50.13,51.48,35.71,67.72,36.98
Cypress Semiconductor,Semiconductors & Equipment,45.14,748,23,49.96,44.97,48.6,41.64,44.05,52.84,38.93
PTC Inc,Software,45.13,749,40,43.88,35.47,51.83,44.29,34.13,52.84,48.58
Realpage,Software,45.12,750,41,38.57,34.66,51.84,50.0,44.59,52.84,45.17
Everest Re Group,Insurance,45.12,751,33,38.57,41.95,47.49,45.0,34.92,52.84,47.86
Dick's Sporting Goods,Retail,45.11,752,28,46.24,60.76,49.18,54.56,41.3,40.57,30.57
Aspen Insurance Holdings,Insurance,45.05,753,34,45.73,41.3,48.37,45.67,30.08,52.84,45.77
Olin Corp,Chemicals,45.04,754,21,42.99,49.02,33.9,43.79,48.23,49.12,46.07
Bankunited,Banks,45.03,755,39,44.6,46.59,53.64,45.69,48.65,52.84,33.53
Genesee & Wyoming,Transportation,45,756,23,48.28,49.43,41.59,46.03,54.4,52.84,33.99
Pacwest Bancorp,Banks,45,757,40,38.57,35.87,53.64,44.11,52.87,52.84,43.06
Athene Holding,Capital Markets,44.97,758,31,40.77,56.11,47.49,41.01,28.78,52.84,40.15
RPC Inc,Energy Equipment & Services,44.93,759,10,36.96,49.43,42.49,43.95,45.0,52.84,42.24
Bank OZK,Banks,44.91,760,41,38.57,43.35,53.63,45.06,51.31,52.84,37.38
Conduent,Commercial Support Services,44.88,761,29,47.7,40.01,52.66,49.53,50.17,52.84,34.4
Choice Hotels,Restaurants & Leisure,44.87,762,22,27.52,62.48,49.92,51.48,39.74,52.84,30.92
American Campus Communities,Real Estate,44.87,763,28,38.57,44.97,47.58,45.01,43.42,52.84,41.83
CF Industries,Chemicals,44.87,764,22,44.83,53.07,17.42,44.33,48.13,49.12,49.99
Fifth Third Bancorp,Banks,44.82,765,42,44.07,20.03,55.55,44.99,45.33,52.84,52.3
American Financial Group,Insurance,44.8,766,35,38.57,42.35,47.48,45.78,34.38,52.84,46.06
Burlington Stores,Retail,44.77,767,29,42.21,60.96,49.13,53.42,51.46,52.84,20.83
Live Nation Entertainment,Restaurants & Leisure,44.76,768,23,49.58,55.7,47.42,46.5,39.45,32.52,41.54
Cincinnati Financial,Insurance,44.72,769,36,38.57,35.06,52.75,46.36,44.2,52.84,44.71
Loews,Insurance,44.7,770,37,38.62,36.68,47.48,46.45,36.4,52.84,48.69
Gardner Denver Holdings,Commercial Vehicles & Machinery,44.69,771,23,42.21,51.59,43.79,43.82,40.58,52.84,38.3
Robert Half International,Commercial Support Services,44.68,772,30,46.56,44.57,47.44,46.34,54.82,52.84,33.57
Euronet Worldwide,Commercial Support Services,44.67,773,31,38.57,43.97,51.88,45.01,46.03,52.84,38.65
FMC Corp,Chemicals,44.58,774,23,48.16,49.83,19.38,44.43,54.55,30.83,57.26
Regal Beloit,Industrial Goods,44.56,775,34,48.59,45.78,42.87,42.56,49.23,52.84,37.41
Carter,Household Goods & Apparel,44.55,776,31,51.25,59.75,45.65,48.23,54.44,44.29,25.32
Gates Industrial Corp,Commercial Support Services,44.55,777,32,47.62,50.5,34.1,46.19,40.47,52.84,40.07
O'Reilly Automotive,Retail,44.53,778,30,38.57,57.52,47.4,57.58,51.95,52.84,22.56
